20240124	23:38:54 	3e28ccee-03ec-4ce5-a51e-c03fd6ea6463	POST 	 undefined  	 /auth  
20240124	23:38:55 	defd651b-ed63-49ea-a121-02fa6d47c134	POST 	 undefined  	 /auth  
20240124	23:38:55 	564f2b76-9865-4f3d-8c46-7aab335b02b7	POST 	 undefined  	 /auth  
20240124	23:39:32 	f6a5f98c-cacf-4b9d-80aa-ac7314f1f0b0	GET 	 undefined  	 /refresh  
20240124	23:39:33 	3e6241d7-c147-43d1-8e76-152fd1f27f3a	GET 	 undefined  	 /refresh  
20240124	23:40:21 	7e4f7923-f91b-40c5-8a0d-4ed543329937	GET 	 undefined  	 /refresh  
20240124	23:41:41 	436a79a6-196a-416e-9e4d-e81ab53b22b7	POST 	 undefined  	 /auth  
20240124	23:41:43 	cdad5a57-35ac-436c-a903-3214886b8417	GET 	 undefined  	 /refresh  
20240124	23:43:22 	e7da63fc-9ed4-4664-8659-d3b37976460c	POST 	 undefined  	 /auth  
20240124	23:43:30 	a1d2fee8-a57a-4dbd-b867-bf988cc15e5c	GET 	 undefined  	 /refresh  
